ID,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,level,Class
7060,0,tcp,smtp,SF,1129,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,138,1,0,0.14,0.02,0,0.04,0,0.01,21,0
22036,0,tcp,http,SF,242,2147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0,0,1,0,0.14,255,255,1,0,0,0,0,0,0,0,21,0
19555,0,tcp,http,SF,299,3991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,52,0.05,0.02,0,0,1,0,0.12,255,255,1,0,0,0,0,0,0,0,21,0
11393,0,udp,domain_u,SF,43,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,91,0,0,0,0,1,0,0.02,255,254,1,0.01,0,0,0,0,0,0,21,0
22783,0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,21,3,0.14,0.19,0.05,0,0.1,0.67,0,0,4,0
10898,0,tcp,http,SF,307,8792,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,1,0,0.33,23,96,1,0,0.04,0.08,0,0,0,0.02,21,0
533,0,tcp,ftp_data,SF,252,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,245,9,0.04,0.02,0.04,0,0,0,0.83,0,17,0
770,0,udp,domain_u,SF,46,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,179,0,0,0,0,1,0,0,255,228,0.89,0.01,0,0,0,0,0,0,18,0
8290,0,tcp,http,SF,301,4433,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,1,0,0.06,3,255,1,0,0.33,0.05,0,0,0,0,21,0
7959,0,icmp,eco_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,238,238,1,0,1,0,0,0,0,0,20,0
4909,0,tcp,http,SF,325,12884,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,183,183,1,0,0.01,0,0,0,0,0,21,0
7691,0,tcp,http,SF,309,12712,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,0,0,32,255,1,0,0.03,0.01,0,0,0,0,21,0
3860,0,tcp,http,SF,313,5215,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,28,0,0,0,0,1,0,0.07,122,255,1,0,0.01,0.05,0,0,0,0,21,0
3884,0,tcp,ftp_data,SF,14052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,202,55,0.27,0.02,0.27,0,0,0,0.01,0,21,0
4797,0,udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,188,186,0.99,0.01,0.01,0,0,0,0,0,20,0
21266,9093,tcp,telnet,SF,2664,16749,0,0,0,0,0,1,2,0,0,2,14,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,20,0.08,0.07,0,0,0.62,0,0.01,0.1,20,0
20581,0,tcp,http,SF,261,391,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,1,0,0.12,255,255,1,0,0,0,0,0,0,0,21,0
7043,0,tcp,ftp_data,SF,748,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,215,93,0.43,0.01,0.43,0,0,0.01,0,0,21,0
15429,0,udp,domain_u,SF,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,142,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0,0,0,0,18,0
